Discord-Name:,Forum-Name:,Abteilung,Unterkategorie:,Rolle:,Ziele #20: Administrations Ziel
TheProgrammer,Java_Programming,Administration,Head,Head,#3477
TheProgrammer,Java_Programming,Frontend Development,Programmierer,Mitglied,#3477
jokur,jokur,Administration,Serveradmin,Mitglied,#6600
Verbisss,Verbis,Security,Bug finder,Mitglied,#2433
Timo,Timo,Administration,Ticketverwalter,Mitglied,#8896
CrYpTiC,cryptic,Security,Bug finder,Mitglied,#6692
eldrior,eldrior,Administration,Zeitplaner,Leitung,#4855
benesche1,benesche1,Administration,Ticketverwalter,Leitung,#4315 
benesche1,benesche1,Architecture,Requirement Analytiker,Mitglied,#4315 
benesche1,benesche1,Architecture,Spezifikationsentwickler,Mitglied,#4315 
Captches,Captches,Design,Sound und Audio,Mitglied,#2414
leschi,leschi,Administration,Ticketverwalter,Mitglied,#9154
LiBa,liba01,Security,Bug finder,Mitglied,#8817 
LiBa,liba01,Architecture,Evolutionsmanager,Mitglied,#8817 
LiBa,liba01,Backend Development,Programmierer,Mitglied,#8817 
Richie,Richie,Backend Development,Programmierer,Mitglied,#9186
Richie,Richie,Frontend Development,Programmierer,Mitglied,#9186
aronck,aronck,Frontend Development,Programmierer,Mitglied,#6218
aronck,aronck,Administration,Serveradmin,Mitglied,#6218
aronck,aronck,Architecture,Head,Head,#6218
Optix,Optix,Design,Grafiker,Mitglied,#1155
Vater_Morgana02,Robert,Architecture,Softwarearchitekt (Klassendiagramme),Mitglied,#7940 
Diamand_Dragon,Diamand_Dragon,Frontend Development,Programmierer,Mitglied,#2280 
Vitrox,Vitrox,Architecture,Architekturdesigner,Leitung,#8645
Vitrox,Vitrox,Backend Development,Programmierer,Mitglied,#8645
❮Niklas💻365 ❯,NikNak,Security,Bug finder,Mitglied,#5370
❮Niklas💻365 ❯,NikNak,Security,Security Analytiker,Mitglied,#5370
Ryan_Néva,Ryan_Néva,Architecture,Requirement Analytiker,Mitglied,#7613
MrBlack,NicoF2000,Administration,Serveradmin,Leitung,#8359
MrBlack,NicoF2000,Security,Security Analytiker,Mitglied,#8359
MrBlack,NicoF2000,Security,Bug finder,Mitglied,#8359
MrBlack,NicoF2000,Security,Pentester,Mitglied,#8359
MrBlack,NicoF2000,Architecture,Requirement Analytiker,Leitung,#8359
Felix,Felix,Frontend Development,Programmierer,Mitglied,#9908
Der_Joscha,Der_Joscha,Backend Development,Programmierer,Mitglied,#3507
nullomann,Nullomann,Backend Development,Programmierer,Mitglied,#2139
nullomann,Nullomann,Security,Bug finder,Mitglied,#2139
nullomann,Nullomann,Architecture,Requirement Analytiker,Mitglied,#2139
WinGaming,WinGaming,Frontend Development,Programmierer,Mitglied,#2936
WinGaming,WinGaming,Administration,Ticketverwalter,Mitglied,#2936
WinGaming,WinGaming,Architecture,Spezifikationsentwickler,Mitglied,#2936
WinGaming,WinGaming,Architecture,Evolutionsmanager,Leitung,#2936
user,user,Security,Bug finder,Mitglied,#9571
DasSkriptkiddie,DasSkriptkiddie,Architecture,Architekturdesigner,Mitglied,#3004 
DasSkriptkiddie,DasSkriptkiddie,Architecture,Requirement Analytiker,Mitglied,#3004 
USE-TO,USE-TO,Backend Development,Head,Head,#3672
MaxiHuHe04,MaxiHuHe04,Frontend Development,Tester,Mitglied,#8905
MaxiHuHe04,MaxiHuHe04,Security,Security Analytiker,Mitglied,#8905
MaxiHuHe04,MaxiHuHe04,Architecture,Evolutionsmanager,Mitglied,#8905
MaxiHuHe04,MaxiHuHe04,Architecture,Schnittstellenentwurf,Mitglied,#8905
MaxiHuHe04,MaxiHuHe04,Backend Development,Tester,Mitglied,#8905
GERMatti,GERMatti,Backend Development,Programmierer,Mitglied,#1890
RiseofRice,RiseofRice,Administration,Zeitplaner,Mitglied,#6935
Infi,Infi,Backend Development,Programmierer,Mitglied,#8527
DerEddie,DerEddie,Architecture,Spezifikationsentwickler,Mitglied,#8775
StormRider,LordRazor,Administration,Serveradmin,Mitglied,#7627
Freax13,Freax13,Security,Head,Head,#5578
Freax13,Freax13,Security,Bug finder,Mitglied,#5578
Freax13,Freax13,Security,Security Analytiker,Mitglied,#5578
Freax13,Freax13,Security,Pentester,Mitglied,#5578
Zortax,Zortax,Administration,Gitadmin,Leitung,#3347
Milan,Milan,Design,Grafiker,Leitung,#4165
petmi627,petmi627,Frontend Development,Programmierer,Mitglied,#8224
Erarnitox,Erarnitox,Design,Grafiker,Mitglied,#6699
Erarnitox,Erarnitox,Design,Designer,Mitglied,#6699
schmoizz,schmoizz,Administration,Serveradmin,Mitglied,#2524
schmoizz,schmoizz,Backend Development,Programmierer,Mitglied,#2524
Supelir,Supelir,Security,Head,Head,#5644
ctexxx,ctexxx,Security,Bug finder,Mitglied,#7759
Hero17_2016,Hero17_2016,Backend Development,Programmierer,Mitglied,#0534
wandton,wandton,Design,Social Manager,Mitglied,#8201
wandton,wandton,Architecture,Requirement Analytiker,Mitglied,#8201
venondzn,venon,Frontend Development,Programmierer,Mitglied,#2385
venondzn,venon,Design,,Mitglied,#2385
mrdacom,mrdacom,Frontend Development,Programmierer,Mitglied,#9952
DanielD,Daniel,Frontend Development,Head,Head,#1067
DanielD,Daniel,Design,Designer,Mitglied,#1067
Lanseuo,Lanseuo,Backend Development,Programmierer,Mitglied,#7226
CLN,JoshuaH,Security,Bug finder,Mitglied,#7483
RedLukas,RedLukas,Security,Bug finder,Mitglied,#5610
RedLukas,RedLukas,Security,Pentester,Mitglied,#5610
apatrck00,apatrck00,Architecture,Schnittstellenentwurf,Leitung,#6620
apatrck00,apatrck00,Architecture,Requirement Analytiker,Mitglied,#6620
IT2Game,IT2Game,Backend Development,Tester,Mitglied,#6443
paddi,paddi,Backend Development,Programmierer,Mitglied,#9955
EdwinTechnologies,EdwinTechnologies,Security,Pentester,Mitglied,#2507
EdwinTechnologies,EdwinTechnologies,Security,Bug finder,Mitglied,#2507
Zorro909,Zorro909,Backend Development,Programmierer,Mitglied,#1972
Mr.Plopp,Mr.Plopp,Architecture,Requirement Analytiker,Mitglied,#7182
L1M4R,L1M4R,Security,Bug finder,Mitglied,#5026
L1M4R,L1M4R,Security,Pentester,Mitglied,#5026
H3XT3CH,H3XT3CH,Security,Bug finder,Mitglied,#6762
H3XT3CH,H3XT3CH,Security,Security Analytiker,Mitglied,#6762
H3XT3CH,H3XT3CH,Security,Pentester,Mitglied,#6762
Alph4strik3r,Alph4strik3r,Security,Pentester,Mitglied,#4483
mumi,mumi,Security,Security Analytiker,Mitglied,#7154
mumi,mumi,Architecture,Schnittstellenentwurf,Mitglied,#7154
Alex^^,Just Alex,Design,Grafiker,Mitglied,#1543
Alex^^,Just Alex,Design,Designer,Mitglied,#1543
vaelin al sorna,vaelin al sorna,Architecture,Evolutionsmanager,Mitglied,#6631 
Raven,Raven,Frontend Development,Programmierer,Mitglied,#8131
chpros,Thelon,Frontend Development,Programmierer,Mitglied,#4421
Grocker,Grocker,Frontend Development,Tester,Mitglied,#6490
Regenwolf,Regenwolf,Backend Development,Programmierer,Mitglied,#2934
ProgrammBiest,ProgrammBiest,Backend Development,Programmierer,Mitglied,#4631
Code4All,Code4All,Backend Development,Tester,Mitglied,#5872 
Maxi3000,Maxi3000,Architecture,Softwarearchitekt (Klassendiagramme),Mitglied,#9562
pascal0030,pascal0030,Architecture,Architekturdesigner,Mitglied,#2401
Pliskin,Pliskin,Architecture,Schnittstellenentwurf,Mitglied,#7340
Pliskin,Pliskin,Architecture,Softwarearchitekt (Klassendiagramme),Mitglied,#7340
Pliskin,Pliskin,Design,Sound und Audio,Mitglied,#7340
freaykminer99,Freakyminer99,Security,Security Analytiker,Mitglied,#1024
jdoubleu,jdoubleu,Frontend Development,Programmierer,Mitglied,#1697
Yannic7,Yannic,Design,Head,Head,#1673
SyntaxError,SyntaxError,Design,Grafiker,Mitglied,#6867
rickecee,The Real You,Design,Grafiker,Mitglied,#0074
Sudo,Sudo,Design,Designer,Mitglied,#1982
Tomie321,Tomie321,Design,Designer,Mitglied,#5326
Deco,Deco,Architecture,Softwarearchitekt (Klassendiagramme),Mitglied,#9671
Deco,Deco,Architecture,Schnittstellenentwurf,Mitglied,#9671
Survari,Survari,Backend Development,Programmierer,Mitglied,#4419
Exidio,exidio,Security,Pentester,Mitglied,#7518
Red.SeC,Red.SeC,Architecture,Requirement Analytiker,Mitglied,#2700
Grafit-1 B3astmod3,Grafit-1,Architecture,Requirement Analytiker,Mitglied,#7094
Angelo131095,Angelo131095,Security,Pentester,Mitglied,#8194
Morpheus,Morpheus,God,Head,Head,#9581
Talkingstreet,Talkingstreet,Architecture,Requirement Analytiker,Mitglied,#0983